Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Release_Year
Doctor Dolittle 2,112950721.0,176101721.0,,72000000.0,2001-06-22,PG,87.0,20th Century Fox,Remake,Comedy,Kids Fiction,Steve Carr,,6.0,2993.0,2001
Doctor Dolittle,144156605.0,294156605.0,,71500000.0,1998-06-26,PG-13,85.0,20th Century Fox,Remake,Comedy,Kids Fiction,Betty Thomas,,5.2,25648.0,1998
Dickie Roberts: Former Child Star,22734486.0,23734486.0,,17000000.0,2003-09-05,PG-13,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,,5.5,6949.0,2003
Drillbit Taylor,32862104.0,49686263.0,12040874.0,40000000.0,2008-03-21,PG-13,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,26.0,5.9,19388.0,2008
Driving Lessons,239962.0,239962.0,,4700000.0,2006-10-13,PG-13,98.0,Sony Pictures Classics,,,,,48.0,6.7,5380.0,2006
Driven,32616869.0,54616869.0,,72000000.0,2001-04-27,PG-13,117.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13.0,4.2,18795.0,2001
Darkness,22163442.0,34409206.0,,10600000.0,2004-12-25,PG-13,,Miramax/Dimension,Original Screenplay,Horror,Contemporary Fiction,,4.0,5.3,9979.0,2004
I Dreamed of Africa,6543194.0,6543194.0,,34000000.0,2000-05-05,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Hugh Hudson,9.0,5.2,2298.0,2000
Dreamcatcher,33685268.0,75685268.0,,68000000.0,2003-03-21,R,136.0,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30.0,5.3,34141.0,2003
Dreamgirls,103365956.0,154965956.0,53674555.0,75000000.0,2006-12-15,PG-13,130.0,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78.0,6.6,28016.0,2006
Detroit Rock City,4217115.0,4217115.0,,16000000.0,1999-08-13,R,,New Line,Original Screenplay,Comedy,Historical Fiction,,47.0,6.4,15092.0,1999
Drop Dead Gorgeous,10571408.0,10571408.0,,10000000.0,1999-07-23,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,45.0,6.2,16344.0,1999
Drumline,56398162.0,56398162.0,,20000000.0,2002-12-13,PG-13,118.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,81.0,5.2,18165.0,2002
The Legend of Drunken Master,11546543.0,11546543.0,,2000000.0,2000-10-20,R,,Miramax,Original Screenplay,Action,Contemporary Fiction,,,,,2000
Dinner Rush,638227.0,1075504.0,,2000000.0,2001-09-28,R,,Access Motion Picture Group,Original Screenplay,Drama,Contemporary Fiction,,,7.2,2991.0,2001
The Descent,26024456.0,57029609.0,22484444.0,7000000.0,2006-08-04,R,99.0,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,7.4,58176.0,2006
DysFunkTional Family,2255000.0,2255000.0,,3000000.0,2003-04-04,R,,Miramax,Original Screenplay,Concert/Performance,Factual,,43.0,5.9,501.0,2003
The Master of Disguise,40363530.0,40363530.0,,16000000.0,2002-08-02,PG,80.0,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,,2.0,3.0,10050.0,2002
Desert Blue,99147.0,99147.0,,5000000.0,1999-06-04,R,,Goldwyn Entertainment,,,,,,6.0,1412.0,1999
Disturbia,80209692.0,117573043.0,34508128.0,20000000.0,2007-04-13,PG-13,104.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68.0,7.0,72231.0,2007
Double Take,29823162.0,29823162.0,,24000000.0,2001-01-12,PG-13,88.0,Walt Disney Pictures,Remake,Action,Contemporary Fiction,,12.0,6.8,162.0,2001
Death at a Funeral,8580428.0,34743644.0,,20000000.0,2007-08-17,R,90.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61.0,5.1,6628.0,2007
Deterrence,144583.0,371647.0,,800000.0,2000-03-10,R,,,,Thriller/Suspense,,,45.0,6.3,1776.0,2000
Dirty Pretty Things,8112414.0,13904766.0,,10000000.0,2003-07-18,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Stephen Frears,,7.5,18554.0,2003
Dudley Do-Right,9818792.0,9818792.0,,22000000.0,1999-08-27,PG,,Universal,Based on TV,Comedy,Kids Fiction,Hugh Wilson,14.0,3.6,4628.0,1999
Duets,4734235.0,4734235.0,,16000000.0,2000-09-15,R,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,21.0,5.7,5340.0,2000
The Dukes of Hazzard,80270227.0,110570227.0,,53000000.0,2005-08-05,PG-13,105.0,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13.0,4.7,27016.0,2005
Duma,870067.0,994790.0,,12000000.0,2005-09-30,PG,,Warner Bros.,Based on Book/Short Story,Adventure,,,93.0,7.2,2966.0,2005
Dumb and Dumberer: When Harry Met Lloyd,26214846.0,26214846.0,,30000000.0,2003-06-13,PG-13,85.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,,10.0,3.3,14813.0,2003
Dungeons & Dragons 2: The Elemental Might,0.0,909822.0,,15000000.0,2005-10-08,,,Warner Bros.,Based on Game,,Fantasy,,,,,2005
Dungeons and Dragons,15185241.0,33771965.0,,35000000.0,2000-12-08,PG-13,,New Line,Based on Game,Adventure,Fantasy,,,3.6,16954.0,2000
Duplex,9652000.0,10070651.0,,40000000.0,2003-09-26,PG-13,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Danny De Vito,,5.7,19238.0,2003
"You, Me and Dupree",75802010.0,130402010.0,41651251.0,54000000.0,2006-07-14,PG-13,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,21.0,6.1,164.0,2006
Devil's Advocate,61007424.0,153007424.0,,57000000.0,1997-10-17,R,144.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Taylor Hackford,,,,1997
The Da Vinci Code,217536138.0,757236138.0,100178981.0,125000000.0,2006-05-19,PG-13,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,25.0,6.4,116903.0,2006
D-War,10977721.0,79915361.0,7614486.0,32000000.0,2007-09-14,PG-13,90.0,Freestyle Releasing,Traditional/Legend/Fairytale,Action,Fantasy,,,3.8,14081.0,2007
Deuces Wild,6044618.0,6044618.0,,10000000.0,2002-05-03,R,,MGM,Original Screenplay,Drama,Historical Fiction,,3.0,5.3,4010.0,2002
Down to Earth,64172251.0,71172251.0,,30000000.0,2001-02-16,PG-13,87.0,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19.0,5.0,9193.0,2001
Down to You,20035310.0,20035310.0,,9000000.0,2000-01-21,PG-13,92.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,3.0,4.4,7095.0,2000
I'm Not There,4017609.0,11498547.0,6017494.0,20000000.0,2007-11-21,R,,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Todd Haynes,76.0,7.1,23078.0,2007
Easy A,21056221.0,22156221.0,,8000000.0,2010-09-17,PG-13,,Sony/Screen Gems,Based on Book/Short Story,Comedy,Contemporary Fiction,,80.0,7.7,483.0,2010
The Eclipse,133411.0,133411.0,,3000000.0,2010-02-26,R,,Magnolia Pictures,,,,,,6.2,790.0,2010
Edge of Darkness,43313890.0,78739628.0,12665512.0,60000000.0,2010-01-29,R,,Warner Bros.,Based on TV,Drama,Contemporary Fiction,Martin Campbell,55.0,6.7,24174.0,2010
EDtv,22508689.0,35319689.0,,60000000.0,1999-03-26,PG-13,122.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62.0,6.0,21734.0,1999
An Education,12574914.0,14134502.0,1765115.0,7500000.0,2009-10-09,PG-13,,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,,94.0,7.5,22855.0,2009
East is East,4170647.0,4170647.0,,3000000.0,2000-04-14,R,,Miramax,Based on Play,Comedy,Contemporary Fiction,,,6.7,8351.0,2000
8 Heads in a Duffel Bag,3602884.0,4002884.0,,3000000.0,1997-04-18,R,,Orion Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,11.0,4.8,5127.0,1997
Eagle Eye,101440743.0,178066569.0,38374936.0,80000000.0,2008-09-26,PG-13,117.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27.0,6.6,52336.0,2008
8MM,36443442.0,96398826.0,,40000000.0,1999-02-26,R,119.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22.0,6.3,47753.0,1999
Iris,5580479.0,15035827.0,,5500000.0,2001-12-14,R,,Miramax,Based on Book/Short Story,Drama,Dramatization,,79.0,5.8,44.0,2001
Election,14943582.0,14943582.0,,8500000.0,1999-04-23,R,103.0,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Alexander Payne,92.0,7.4,37454.0,1999
Elektra,24409722.0,56409722.0,,65000000.0,2005-01-14,PG-13,,20th Century Fox,Spin-Off,Action,Super Hero,,10.0,4.9,27283.0,2005
Elf,173398518.0,220443451.0,,32000000.0,2003-11-07,PG,95.0,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84.0,6.8,42123.0,2003
Elizabeth,30082699.0,82150642.0,,25000000.0,1998-11-06,R,124.0,Gramercy,Based on Real Life Events,Drama,Dramatization,Shekhar Kapur,81.0,7.6,33773.0,1998
Ella Enchanted,22913677.0,22913677.0,,35000000.0,2004-04-09,PG,96.0,Miramax,Based on Book/Short Story,Comedy,Fantasy,,49.0,6.3,12020.0,2004
Once Upon a Time in Mexico,56330657.0,98156459.0,,29000000.0,2003-09-12,R,102.0,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68.0,6.2,54413.0,2003
The Adventures of Elmo in Grouchland,11634458.0,11634458.0,,17000000.0,1999-10-01,G,,Sony Pictures,Based on TV,Comedy,Kids Fiction,,76.0,5.4,1059.0,1999
The Emperor's Club,14060950.0,16124074.0,,12500000.0,2002-11-22,PG-13,,Universal,Based on Book/Short Story,Drama,Historical Fiction,,50.0,6.7,8165.0,2002
Empire,17504595.0,18495444.0,,3500000.0,2002-12-06,R,,Universal,Original Screenplay,Drama,Contemporary Fiction,,21.0,6.5,63.0,2002
La marche de l'empereur,77437223.0,129437223.0,,3400000.0,2005-06-24,G,80.0,Warner Independent,Based on Real Life Events,Documentary,Factual,,,7.8,23674.0,2005
Employee of the Month,28444855.0,38117718.0,21177885.0,10000000.0,2006-10-06,PG-13,103.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,20.0,5.4,17845.0,2006
The Emperor's New Groove,89296573.0,169296573.0,,100000000.0,2000-12-15,G,78.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85.0,7.4,23355.0,2000
Enchanted,127706877.0,340384141.0,87698079.0,85000000.0,2007-11-21,PG,108.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92.0,7.5,55697.0,2007
The End of the Affair,10660147.0,10660147.0,,23000000.0,1999-12-03,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Neil Jordan,67.0,6.9,9969.0,1999
End of Days,66889043.0,212026975.0,,100000000.0,1999-11-24,R,120.0,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11.0,5.4,43513.0,1999
End of the Spear,11748661.0,11748661.0,,10000000.0,2006-01-20,PG-13,,M Power Releasing,Original Screenplay,Drama,Historical Fiction,,,6.7,2884.0,2006
Enemy at the Gates,51396781.0,96971293.0,,85000000.0,2001-03-16,R,131.0,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53.0,7.4,59916.0,2001
Enemy of the State,111549836.0,250649836.0,,85000000.0,1998-11-20,R,127.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70.0,7.2,66700.0,1998
Entrapment,87707396.0,211700000.0,,66000000.0,1999-04-30,PG-13,112.0,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38.0,6.1,40764.0,1999
Enough,39177215.0,39177215.0,,38000000.0,2002-05-24,PG-13,115.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21.0,6.5,92.0,2002
Envy,13548322.0,14566246.0,,20000000.0,2004-04-30,PG-13,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,7.0,4.6,15655.0,2004
Epic Movie,39739367.0,86858578.0,16839362.0,20000000.0,2007-01-26,PG-13,86.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,2.2,48975.0,2007
Eragon,75030163.0,249488115.0,87700229.0,100000000.0,2006-12-15,PG,102.0,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,16.0,5.0,43555.0,2006
Erin Brockovich,125548685.0,258400000.0,,50000000.0,2000-03-17,R,133.0,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83.0,7.2,54977.0,2000
Elizabethtown,26850426.0,50719373.0,15854391.0,54000000.0,2005-10-14,PG-13,133.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28.0,6.4,31775.0,2005
Eat Pray Love,78146373.0,81846373.0,,60000000.0,2010-08-13,R,143.0,Sony Pictures,Based on Magazine Article,Drama,Contemporary Fiction,,37.0,4.7,3019.0,2010
Eternal Sunshine of the Spotless Mind,34366518.0,47066518.0,,20000000.0,2004-03-19,R,108.0,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93.0,8.5,219986.0,2004
Eulogy,70527.0,70527.0,,10000000.0,2004-10-15,R,,Artisan,Original Screenplay,Comedy,,,32.0,6.6,5205.0,2004
Eureka,49388.0,76654.0,,2000000.0,2001-05-04,Not Rated,,,,Drama,,,,7.9,1391.0,2001
Eurotrip,17718223.0,20718223.0,,25000000.0,2004-02-20,R,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,,46.0,6.5,52548.0,2004
Eve's Bayou,14843425.0,14843425.0,,5000000.0,1997-11-07,R,109.0,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80.0,7.0,4509.0,1997
Event Horizon,26673242.0,26673242.0,,60000000.0,1997-08-15,R,95.0,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21.0,6.3,44671.0,1997
Ever After: A Cinderella Story,65705772.0,65705772.0,,26000000.0,1998-07-31,PG,122.0,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,,,,1998
Evita,50047179.0,151947179.0,,55000000.0,1996-12-25,PG,134.0,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61.0,6.1,16769.0,1996
Evolution,38311134.0,98341932.0,,80000000.0,2001-06-08,PG-13,102.0,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42.0,5.9,39590.0,2001
An Everlasting Piece,75078.0,75078.0,,4000000.0,2000-12-25,R,,Dreamworks SKG,,,,Barry Levinson,49.0,6.0,1097.0,2000
Fong juk,51957.0,51957.0,,4500000.0,2007-08-31,Not Rated,100.0,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,,,7.3,3699.0,2007
Exit Wounds,51758599.0,79958599.0,,33000000.0,2001-03-16,R,100.0,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33.0,5.2,14528.0,2001
The Exorcism of Emily Rose,75072454.0,144216468.0,,18000000.0,2005-09-09,PG-13,114.0,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45.0,6.8,32425.0,2005
Exorcist: The Beginning,41814863.0,43957541.0,,78000000.0,2004-08-20,R,114.0,Warner Bros.,Based on Book/Short Story,Horror,Historical Fiction,Renny Harlin,,5.0,15901.0,2004
The Express,9793406.0,9808102.0,6580715.0,37500000.0,2008-10-04,PG,129.0,Universal,Based on Book/Short Story,Drama,Dramatization,,61.0,7.1,4749.0,2008
eXistenZ,2840417.0,2840417.0,,20700000.0,1999-04-23,R,,Miramax,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71.0,6.8,35788.0,1999
Extract,10823158.0,10849158.0,,7500000.0,2009-09-04,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Mike Judge,62.0,6.4,12371.0,2009
Extreme Ops,4835968.0,12624471.0,,40000000.0,2002-11-27,PG-13,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6.0,4.1,3195.0,2002
Eyes Wide Shut,55691208.0,86257553.0,,65000000.0,1999-07-16,R,159.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78.0,7.2,93880.0,1999
The Faculty,40283321.0,40283321.0,,15000000.0,1998-12-25,R,102.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51.0,6.3,36139.0,1998
Failure to Launch,88715192.0,128402901.0,41348843.0,50000000.0,2006-03-10,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Tom Dey,25.0,5.6,20324.0,2006
Keeping the Faith,37036404.0,45336404.0,,29000000.0,2000-04-14,PG-13,129.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,68.0,6.5,25485.0,2000
Fame,22455510.0,77956957.0,4950732.0,18000000.0,2009-09-25,PG,,MGM,Remake,Musical,Contemporary Fiction,,25.0,4.5,4973.0,2009
The Family Stone,60062868.0,91762868.0,23961409.0,18000000.0,2005-12-16,PG-13,103.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,52.0,6.3,24434.0,2005
Lisa Picard is Famous,113433.0,113433.0,,1000000.0,2001-08-22,PG-13,,,,Comedy,,Griffin Dunne,,,,2001
Fantasia 2000 (Theatrical Release),9103630.0,9103630.0,,80000000.0,2000-06-16,G,,Walt Disney Pictures,Compilation,Musical,Fantasy,,,,,2000
Far From Heaven,15901849.0,29027914.0,,13500000.0,2002-11-08,PG-13,,Focus Features,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89.0,7.5,20239.0,2002
Fascination,16670.0,83356.0,,5000000.0,2005-01-28,R,,MGM,Original Screenplay,Thriller/Suspense,,,,2.5,1016.0,2005
Father's Day,28681080.0,35681080.0,,85000000.0,1997-05-09,PG-13,98.0,Warner Bros.,Remake,Comedy,Contemporary Fiction,Ivan Reitman,,4.8,6654.0,1997
Facing the Giants,10178331.0,10178331.0,20091582.0,100000.0,2006-09-29,PG,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9.0,6.0,4901.0,2006
Face/Off,112276146.0,241200000.0,,80000000.0,1997-06-27,R,138.0,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93.0,7.3,102001.0,1997
Final Destination 2,46896664.0,89626226.0,,26000000.0,2003-01-31,R,90.0,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47.0,6.4,35737.0,2003
Final Destination 3,54098051.0,112798051.0,18646884.0,25000000.0,2006-02-10,R,,New Line,Original Screenplay,Horror,Fantasy,James Wong,45.0,5.9,32263.0,2006
The Final Destination,66477700.0,185777700.0,10148305.0,40000000.0,2009-08-28,R,,Warner Bros.,Original Screenplay,Horror,Fantasy,David R. Ellis,27.0,4.9,20319.0,2009
FearDotCom,13208023.0,13208023.0,,40000000.0,2002-08-30,R,,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,,3.1,11438.0,2002
Fear and Loathing in Las Vegas,10680275.0,13711903.0,,18500000.0,1998-05-22,R,,Universal,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47.0,7.6,81560.0,1998
Feast,56131.0,341808.0,3570398.0,3200000.0,2006-09-22,R,,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,,55.0,6.4,12023.0,2006
The Fifth Element,63570862.0,263900000.0,,95000000.0,1997-05-09,PG-13,105.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72.0,7.4,131252.0,1997
Femme Fatale,6592103.0,6592103.0,,35000000.0,2002-11-06,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48.0,6.3,16693.0,2002
Bring it On,68353550.0,90453550.0,,10000000.0,2000-08-25,PG-13,99.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63.0,5.9,30309.0,2000
Fantastic Four,154696080.0,330579719.0,4702358.0,87500000.0,2005-07-08,PG-13,123.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27.0,5.7,71675.0,2005
54,16757163.0,16757163.0,,13000000.0,1998-08-28,R,92.0,Miramax,Original Screenplay,Drama,Dramatization,,13.0,5.6,15023.0,1998
2 Fast 2 Furious,127120058.0,236220058.0,,76000000.0,2003-06-06,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36.0,5.1,44151.0,2003
The Fast and the Furious,144512310.0,206512310.0,,38000000.0,2001-06-22,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53.0,6.0,67939.0,2001
Fool's Gold,70231041.0,109362966.0,20620930.0,72500000.0,2008-02-08,PG-13,,Warner Bros.,Original Screenplay,Adventure,Contemporary Fiction,Andy Tennant,,7.6,93.0,2008
Fahrenheit 9/11,119114517.0,222414517.0,,6000000.0,2004-06-23,R,122.0,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83.0,7.6,74424.0,2004
Capitalism: A Love Story,14363397.0,14678228.0,2987505.0,20000000.0,2009-09-23,R,,Overture Films,Based on Real Life Events,Documentary,Factual,Michael Moore,75.0,7.3,11829.0,2009
From Hell,31598308.0,31598308.0,,35000000.0,2001-10-19,R,123.0,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57.0,6.8,53477.0,2001
Fido,298110.0,419801.0,,8000000.0,2007-06-15,R,93.0,Lionsgate,Original Screenplay,Horror,Fantasy,,,6.9,11683.0,2007
Fight Club,37030102.0,100853753.0,,65000000.0,1999-10-15,R,139.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81.0,8.8,382470.0,1999
Final Fantasy: The Spirits Within,32131830.0,85131830.0,,137000000.0,2001-07-11,PG-13,120.0,Sony Pictures,Based on Game,Adventure,Science Fiction,,,6.4,36227.0,2001
Finding Forrester,51768623.0,80013623.0,,43000000.0,2000-12-19,PG-13,137.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74.0,7.2,35966.0,2000
Freddy Got Fingered,14249005.0,14249005.0,,15000000.0,2001-04-20,R,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,11.0,4.0,25033.0,2001
Firestorm,8123860.0,8123860.0,,19000000.0,1998-01-09,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,,4.4,2118.0,1998
Fish Tank,374675.0,374675.0,,3000000.0,2010-01-15,,,,,,,,,7.5,5940.0,2010
Felicia's Journey,824295.0,1970268.0,,15000000.0,1999-11-12,PG-13,,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,88.0,6.9,4790.0,1999
From Justin to Kelly,4922166.0,4922166.0,,12000000.0,2003-06-20,PG,,20th Century Fox,Based on TV,Musical,Contemporary Fiction,,8.0,1.6,17596.0,2003
Final Destination,53302314.0,112802314.0,,23000000.0,2000-03-17,R,98.0,New Line,Original Screenplay,Horror,Fantasy,James Wong,31.0,6.8,52618.0,2000
Flags of Our Fathers,33602376.0,61902376.0,45105366.0,53000000.0,2006-10-20,R,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73.0,7.2,42788.0,2006
Flawless,4485485.0,4485485.0,,27000000.0,1999-11-24,R,,MGM,Original Screenplay,Drama,Contemporary Fiction,Joel Schumacher,43.0,6.7,8125.0,1999
Flammen og Citronen,148089.0,1635241.0,,9000000.0,2009-07-31,,132.0,IFC Films,,Thriller/Suspense,Historical Fiction,,,7.2,4182.0,2009
Flicka,21000147.0,21893591.0,49974754.0,15000000.0,2006-10-20,PG,94.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,54.0,5.7,2832.0,2006
Flight of the Phoenix,21009180.0,34009180.0,,75000000.0,2004-12-17,PG-13,,20th Century Fox,Remake,Adventure,Historical Fiction,,30.0,6.0,18568.0,2004
United 93,31567134.0,76366864.0,17832230.0,18000000.0,2006-04-28,R,,Universal,Based on Real Life Events,Drama,Dramatization,Paul Greengrass,91.0,7.8,46691.0,2006
Flubber,92993801.0,177993801.0,,80000000.0,1997-11-26,PG,93.0,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17.0,4.6,18890.0,1997
Flushed Away,64665672.0,177665672.0,71025931.0,149000000.0,2006-11-03,PG,85.0,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72.0,7.0,21334.0,2006
Flyboys,13090630.0,14816379.0,23631077.0,60000000.0,2006-09-22,PG-13,139.0,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33.0,6.5,13934.0,2006
Fly Me To the Moon,14543943.0,40098231.0,,25000000.0,2008-08-15,G,89.0,Summit Entertainment,Original Screenplay,Adventure,Kids Fiction,,17.0,4.7,1653.0,2008
Find Me Guilty,1173673.0,1788077.0,,13000000.0,2006-03-17,R,,Freestyle Releasing,Based on Real Life Events,Drama,Dramatization,Sidney Lumet,60.0,7.1,12800.0,2006
The Family Man,75764085.0,124715863.0,,60000000.0,2000-12-22,PG-13,126.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Brett Ratner,52.0,6.6,34090.0,2000
Friends with Money,13368437.0,15328368.0,7822762.0,6500000.0,2006-04-07,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,71.0,6.1,11087.0,2006
Finding Nemo,339714978.0,867894287.0,,94000000.0,2003-05-30,G,100.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98.0,8.2,165006.0,2003
Finishing the Game,52850.0,52850.0,,500000.0,2007-10-05,Not Rated,,IFC First Take,Original Screenplay,Comedy,Contemporary Fiction,Justin Lin,35.0,,,2007
Foodfight!,0.0,0.0,,65000000.0,2009-12-31,PG,,Lionsgate,Original Screenplay,Comedy,Kids Fiction,,,,,2009
Formula 51,5204007.0,5204007.0,,27000000.0,2002-10-18,R,,Screen Media Films,Original Screenplay,Action,Contemporary Fiction,,,,,2002
The Fountain,10144010.0,15461638.0,8752844.0,35000000.0,2006-11-22,PG-13,96.0,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51.0,7.4,72562.0,2006
Fantastic Four: Rise of the Silver Surfer,131921738.0,288215319.0,62277740.0,120000000.0,2007-06-15,PG,92.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,36.0,,,2007
Farce of the Penguins,0.0,0.0,1619183.0,5000000.0,2007-01-30,R,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,,4.1,3186.0,2007
Flightplan,89706988.0,225706988.0,,55000000.0,2005-09-23,PG-13,93.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,38.0,6.2,45305.0,2005
